
run                             result http_status elapsed_ms upload_mb_s max_block_us
---                             ------ ----------- ---------- ----------- ------------
speed-keepalive-len-16k         FAILED 0           3006       0.41        18625       
speed-keepalive-chunked-16k     FAILED 0           3013       0.35        18724       
speed-keepalive-len-8k          OK     201         17208      0.46        12940       
speed-budget-len-16k-4ms        FAILED 0           2005       0.43        19580       
resp-keepalive-chunked-8k-2ms   FAILED 0           5013       0.47        13059       
resp-keepalive-chunked-4k-1ms   FAILED 0           2008       0.43        11764       
resp-keepalive-len-4k-1ms       FAILED 0           2006       0.41        16549       
resp-keepalive-chunked-2k-0.5ms FAILED 0           1005       0.40        7350        



